team_pk,team_name,level_1_name,level_2_name,level_3_name,level_4_name,level_5_name,level_6_name,level_7_name
1,Discovery,Sarah Chen,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
2,Endeavour,Sarah Chen,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
3,Atlantis,Sarah Chen,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
4,Everest,James Wilson,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
5,Kilimanjaro,James Wilson,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
6,Apache,Lisa Garcia,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
7,Cobra,Lisa Garcia,Michael Rodriguez,Jennifer Kim,David Thompson,Robert Anderson,,
8,Grant,Kevin Lee,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
9,Patton,Kevin Lee,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
10,Flintstone,Maria Santos,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
11,Jetson,Maria Santos,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
12,Yellowstone,Alex Johnson,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
13,Yosemite,Alex Johnson,Amanda White,Jennifer Kim,David Thompson,Robert Anderson,,
14,Enterprise,Daniel Kim,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
15,Reliant,Daniel Kim,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
16,Virginia,Nicole Davis,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
17,Montana,Nicole Davis,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
18,Bismarck,Brian Martinez,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
19,Yamato,Brian Martinez,Rachel Brown,Christopher Lee,David Thompson,Robert Anderson,,
20,Nimitz,Ryan Clark,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
21,Roosevelt,Ryan Clark,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
22,Griffin,Stephanie Adams,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
23,Belcher,Stephanie Adams,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
24,Grand Canyon,Mark Wilson,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
25,Zion,Mark Wilson,Jessica Thompson,Christopher Lee,David Thompson,Robert Anderson,,
26,Blackhawk,Lauren Miller,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
27,Chinook,Lauren Miller,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
28,Kiowa,Lauren Miller,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
